               Entry              Nevents                           Time                    Temperature                         Energy                  O*                  CO*                  O2*                   O2                   CO                  CO2
                   1                    0         0.0000000000000000E+00         4.2300000000000000E+02        -2.0701444999997275E+04               14335                 4096                    0                    0                    0                    0
                   2              1118131         1.0000000000000001E-01         4.2300000000000000E+02        -1.7834470199999607E+04               13031                 2791                    0                    0                    1                 1304
                   3              2014957         2.0000000000000001E-01         4.2300000000000000E+02        -1.5712185399999968E+04               12152                 1927                    0                    0                  -14                 2183
                   4              2694556         3.0000000000000004E-01         4.2300000000000000E+02        -1.4290214799999711E+04               11549                 1366                    0                   -2                  -60                 2790
                   5              3195602         4.0000000000000002E-01         4.2300000000000000E+02        -1.3277936399999497E+04               11117                  966                    0                   -5                  -98                 3228
                   6              3592006         5.0000000000000000E-01         4.2300000000000000E+02        -1.2573462199999407E+04               10811                  696                    0                   -8                 -140                 3540
                   7              3882633         5.9999999999999998E-01         4.2300000000000000E+02        -1.2108798199999308E+04               10591                  527                    0                  -12                 -199                 3768
                   8              4132531         6.9999999999999996E-01         4.2300000000000000E+02        -1.1757387599999245E+04               10413                  408                    0                  -17                 -268                 3956
                   9              4292709         7.9999999999999993E-01         4.2300000000000000E+02        -1.1545547999999206E+04               10300                  340                    0                  -25                 -329                 4085
                  10              4430445         8.9999999999999991E-01         4.2300000000000000E+02        -1.1414275999999194E+04               10215                  309                    0                  -34                 -401                 4188
                  11              4564924         9.9999999999999989E-01         4.2300000000000000E+02        -1.1273890199999167E+04               10131                  270                    0                  -47                 -472                 4298
                  12              4708472         1.0999999999999999E+00         4.2300000000000000E+02        -1.1133039199999144E+04               10056                  225                    0                  -59                 -526                 4397
                  13              4816209         1.2000000000000000E+00         4.2300000000000000E+02        -1.1073756399999140E+04                9997                  225                    0                  -67                 -601                 4472
                  14              4916877         1.3000000000000000E+00         4.2300000000000000E+02        -1.1027563799999161E+04                9954                  225                    0                  -81                 -672                 4543
                  15              5032810         1.4000000000000001E+00         4.2300000000000000E+02        -1.0963513399999154E+04                9887                  227                    0                  -88                 -755                 4624
                  16              5147479         1.5000000000000002E+00         4.2300000000000000E+02        -1.0899546599999134E+04                9823                  226                    0                  -98                 -838                 4708
                  17              5255229         1.6000000000000003E+00         4.2300000000000000E+02        -1.0852106399999098E+04                9772                  226                    0                 -112                 -917                 4787
                  18              5378138         1.7000000000000004E+00         4.2300000000000000E+02        -1.0768529199999117E+04                9711                  213                    0                 -122                 -985                 4868
                  19              5467751         1.8000000000000005E+00         4.2300000000000000E+02        -1.0753184599999144E+04                9668                  234                    0                 -129                -1063                 4925
                  20              5562296         1.9000000000000006E+00         4.2300000000000000E+02        -1.0656663799999174E+04                9609                  212                    0                 -145                -1132                 5016
                  21              5666502         2.0000000000000004E+00         4.2300000000000000E+02        -1.0615918999999159E+04                9570                  210                    0                 -162                -1203                 5089
                  22              5772150         2.1000000000000005E+00         4.2300000000000000E+02        -1.0565977799999053E+04                9514                  206                    0                 -173                -1277                 5167
                  23              5880397         2.2000000000000006E+00         4.2300000000000000E+02        -1.0531083999999097E+04                9470                  216                    0                 -187                -1359                 5239
                  24              5990045         2.3000000000000007E+00         4.2300000000000000E+02        -1.0505916199999030E+04                9421                  227                    0                 -201                -1447                 5316
                  25              6102298         2.4000000000000008E+00         4.2300000000000000E+02        -1.0457088799999099E+04                9384                  225                    0                 -219                -1518                 5389
                  26              6214928         2.5000000000000009E+00         4.2300000000000000E+02        -1.0399700199999030E+04                9331                  217                    0                 -234                -1593                 5472
                  27              6327964         2.6000000000000010E+00         4.2300000000000000E+02        -1.0339140599999091E+04                9283                  214                    0                 -249                -1668                 5550
                  28              6444181         2.7000000000000011E+00         4.2300000000000000E+02        -1.0277350999999058E+04                9230                  206                    0                 -269                -1753                 5643
                  29              6546994         2.8000000000000012E+00         4.2300000000000000E+02        -1.0213497799999064E+04                9184                  195                    0                 -287                -1824                 5725
                  30              6651979         2.9000000000000012E+00         4.2300000000000000E+02        -1.0208230799999052E+04                9164                  204                    0                 -310                -1899                 5791
                  31              6759611         3.0000000000000013E+00         4.2300000000000000E+02        -1.0181668199999060E+04                9121                  216                    0                 -325                -1984                 5864
                  32              6869901         3.1000000000000014E+00         4.2300000000000000E+02        -1.0097478999999055E+04                9070                  194                    0                 -343                -2049                 5951
                  33              6978034         3.2000000000000015E+00         4.2300000000000000E+02        -1.0082469399999101E+04                9037                  210                    0                 -365                -2142                 6028
                  34              7088749         3.3000000000000016E+00         4.2300000000000000E+02        -1.0021053599999057E+04                8983                  202                    0                 -382                -2222                 6116
                  35              7221020         3.4000000000000017E+00         4.2300000000000000E+02        -9.9597185999990161E+03                8928                  195                    0                 -398                -2302                 6203
                  36              7328120         3.5000000000000018E+00         4.2300000000000000E+02        -9.8877799999991221E+03                8880                  188                    0                 -420                -2387                 6295
                  37              7449010         3.6000000000000019E+00         4.2300000000000000E+02        -9.9211953999990637E+03                8872                  211                    0                 -448                -2474                 6359
                  38              7535919         3.7000000000000020E+00         4.2300000000000000E+02        -9.8810983999990676E+03                8827                  215                    0                 -462                -2551                 6432
                  39              7651742         3.8000000000000020E+00         4.2300000000000000E+02        -9.8182083999990864E+03                8782                  205                    0                 -485                -2632                 6523
                  40              7753706         3.9000000000000021E+00         4.2300000000000000E+02        -9.7759081999990503E+03                8736                  205                    0                 -501                -2710                 6601
                  41              7868250         4.0000000000000018E+00         4.2300000000000000E+02        -9.7435921999990442E+03                8696                  210                    0                 -520                -2793                 6679
                  42              7989467         4.1000000000000014E+00         4.2300000000000000E+02        -9.7132411999990436E+03                8666                  210                    0                 -542                -2867                 6753
                  43              8101902         4.2000000000000011E+00         4.2300000000000000E+02        -9.6903113999991019E+03                8637                  219                    0                 -563                -2947                 6824
