               Entry              Nevents                           Time                    Temperature                         Energy                  O*                  CO*                  O2*                   O2                   CO                  CO2
                   1                    0         0.0000000000000000E+00         4.2300000000000000E+02        -8.2732135999999136E+03                2048                 4096                    0                    0                    0                    0
                   2              5438663         1.0000000000000000E+02         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                   3              5449094         2.0000000000000000E+02         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                   4              5456718         3.0000000000000000E+02         4.2300000000000000E+02        -2.7700295999999926E+04                   0                18430                    0                    0               -16382                 2048
                   5              5458945         4.0000000000000000E+02         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                   6              5461133         5.0000000000000000E+02         4.2300000000000000E+02        -2.7701795999999926E+04                   0                18431                    0                    0               -16383                 2048
                   7              5463354         6.0000000000000000E+02         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                   8              5465433         7.0000000000000000E+02         4.2300000000000000E+02        -2.7701795999999926E+04                   0                18431                    0                    0               -16383                 2048
                   9              5467379         8.0000000000000000E+02         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  10              5469326         9.0000000000000000E+02         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  11              5471526         1.0000000000000000E+03         4.2300000000000000E+02        -2.7701795999999926E+04                   0                18431                    0                    0               -16383                 2048
                  12              5473673         1.1000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  13              5475676         1.2000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  14              5477955         1.3000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  15              5478433         1.4000000000000000E+03         4.2300000000000000E+02        -2.7701795999999926E+04                   0                18431                    0                    0               -16383                 2048
                  16              5478868         1.5000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  17              5479171         1.6000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  18              5479671         1.7000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  19              5480093         1.8000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  20              5480439         1.9000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  21              5480943         2.0000000000000000E+03         4.2300000000000000E+02        -2.7701795999999926E+04                   0                18431                    0                    0               -16383                 2048
                  22              5481362         2.1000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  23              5481715         2.2000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  24              5483674         2.3000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  25              5484079         2.4000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  26              5484435         2.5000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  27              5484790         2.6000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  28              5485148         2.7000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  29              5485515         2.8000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  30              5485982         2.9000000000000000E+03         4.2300000000000000E+02        -2.7701795999999926E+04                   0                18431                    0                    0               -16383                 2048
                  31              5486361         3.0000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  32              5486731         3.1000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  33              5487142         3.2000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  34              5487585         3.3000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  35              5487932         3.4000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  36              5488321         3.5000000000000000E+03         4.2300000000000000E+02        -2.7701795999999926E+04                   0                18431                    0                    0               -16383                 2048
                  37              5488756         3.6000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  38              5489306         3.7000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  39              5489639         3.8000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  40              5490101         3.9000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  41              5490510         4.0000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  42              5490817         4.1000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  43              5491244         4.2000000000000000E+03         4.2300000000000000E+02        -2.7700295999999926E+04                   0                18430                    0                    0               -16382                 2048
                  44              5491638         4.3000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  45              5492009         4.4000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  46              5492440         4.5000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  47              5492766         4.6000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  48              5493146         4.7000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  49              5493618         4.8000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  50              5494002         4.9000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  51              5494400         5.0000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  52              5494765         5.1000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  53              5495220         5.2000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  54              5495654         5.3000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  55              5495981         5.4000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  56              5496368         5.5000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  57              5496855         5.6000000000000000E+03         4.2300000000000000E+02        -2.7701795999999926E+04                   0                18431                    0                    0               -16383                 2048
                  58              5497372         5.7000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  59              5497818         5.8000000000000000E+03         4.2300000000000000E+02        -2.7701795999999926E+04                   0                18431                    0                    0               -16383                 2048
                  60              5498374         5.9000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  61              5498697         6.0000000000000000E+03         4.2300000000000000E+02        -2.7701795999999926E+04                   0                18431                    0                    0               -16383                 2048
                  62              5499047         6.1000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  63              5499460         6.2000000000000000E+03         4.2300000000000000E+02        -2.7701795999999926E+04                   0                18431                    0                    0               -16383                 2048
                  64              5499816         6.3000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  65              5500044         6.4000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  66              5500113         6.5000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  67              5500188         6.6000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  68              5500290         6.7000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  69              5500411         6.8000000000000000E+03         4.2300000000000000E+02        -2.7701795999999926E+04                   0                18431                    0                    0               -16383                 2048
                  70              5500527         6.9000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  71              5500579         7.0000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  72              5500682         7.1000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  73              5500749         7.2000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  74              5500839         7.3000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  75              5500926         7.4000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  76              5501035         7.5000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  77              5501128         7.6000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  78              5501233         7.7000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  79              5501307         7.8000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  80              5501374         7.9000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  81              5501439         8.0000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  82              5501483         8.1000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  83              5501531         8.2000000000000000E+03         4.2300000000000000E+02        -2.7701795999999926E+04                   0                18431                    0                    0               -16383                 2048
                  84              5501603         8.3000000000000000E+03         4.2300000000000000E+02        -2.7701795999999926E+04                   0                18431                    0                    0               -16383                 2048
                  85              5501707         8.4000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  86              5501791         8.5000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  87              5501848         8.6000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  88              5501976         8.7000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  89              5502067         8.8000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  90              5502229         8.9000000000000000E+03         4.2300000000000000E+02        -2.7701795999999926E+04                   0                18431                    0                    0               -16383                 2048
                  91              5502320         9.0000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  92              5502418         9.1000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  93              5502478         9.2000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  94              5502527         9.3000000000000000E+03         4.2300000000000000E+02        -2.7701795999999926E+04                   0                18431                    0                    0               -16383                 2048
                  95              5502649         9.4000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  96              5502688         9.5000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  97              5502788         9.6000000000000000E+03         4.2300000000000000E+02        -2.7700295999999926E+04                   0                18430                    0                    0               -16382                 2048
                  98              5502879         9.7000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                  99              5502974         9.8000000000000000E+03         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                 100              5503054         9.9000000000000000E+03         4.2300000000000000E+02        -2.7701795999999926E+04                   0                18431                    0                    0               -16383                 2048
                 101              5503166         1.0000000000000000E+04         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                 102              5503224         1.0100000000000000E+04         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                 103              5503376         1.0200000000000000E+04         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                 104              5503474         1.0300000000000000E+04         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                 105              5503526         1.0400000000000000E+04         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                 106              5503634         1.0500000000000000E+04         4.2300000000000000E+02        -2.7703295999999926E+04                   0                18432                    0                    0               -16384                 2048
                 107              5503691         1.0600000000000000E+04         4.2300000000000000E+02        -2.7701795999999926E+04                   0                18431                    0                    0               -16383                 2048
