time,CO*,H2O*,H*,OH*,COOH*,CO2*,*
0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
1.3868382918361156e-17,0.49999846754765104,0.499999848715465,1.1919977813176892e-10,1.1919973565331197e-10,4.2478456917552885e-17,7.250365189800542e-20,1.6834984843839004e-06
2.7736765836722312e-17,0.4999969350998843,0.4999996972931758,3.7619842583328595e-10,3.761982426601906e-10,1.8317309540372117e-16,2.288224712565847e-19,3.3668545429923922e-06
1.6642059502033387e-16,0.4999816110256643,0.49999817094907023,1.5071362376112327e-08,1.5071308266432713e-08,5.4109679256883255e-14,9.168033264264495e-18,2.0187882540762253e-05
3.0510442420394543e-16,0.49996628741066174,0.4999966308166721,4.355936711257992e-08,4.3559149365014606e-08,2.1774756654598205e-13,2.650899493420488e-17,3.699465393196432e-05
7.211019557254972e-16,0.4999203250767427,0.4999919345803976,2.0547628246253848e-07,2.054743398596559e-07,1.9426030530016995e-12,1.2574698231193613e-16,8.732939029455384e-05
1.137099487247049e-15,0.49987436682585246,0.4999871160668812,4.897122383578701e-07,4.897057285523586e-07,6.509807353788978e-12,3.0304963986350466e-16,0.0001375376827892231
1.5530970187686008e-15,0.4998284127556006,0.499982172602502,8.989429205409446e-07,8.989274698882679e-07,1.5450661783927334e-11,5.673357001927162e-16,0.00018761675605558884
2.6187122629132865e-15,0.4997107164900475,0.4999689370487393,2.5198600067876633e-06,2.519786995772348e-06,7.301115501352477e-11,1.8393620961935375e-15,0.0003153067411976019
3.684327507057972e-15,0.49959304785891306,0.4999548819505449,4.960638714214686e-06,4.96044184489996e-06,1.9687005097904932e-10,4.495903334545607e-15,0.00044214891310825617
4.7499427512026574e-15,0.49947540684474734,0.49994001225986534,8.216345742971002e-06,8.215932918437687e-06,4.1282711537746633e-10,9.812853471620478e-15,0.000568148203888785
7.21092721030342e-15,0.49920382623213194,0.49990258809461824,1.881998697500705e-05,1.8818584242296996e-05,1.402754818531084e-09,4.7998551276043174e-14,0.0008559456992295097
9.671911669404182e-15,0.49893239235231995,0.4998609151878722,3.3674488184495565e-05,3.36711488069475e-05,3.339471789432928e-09,1.6868457086664463e-13,0.0011393434831758547
1.2132896128504945e-14,0.49866110480024883,0.49981506157728883,5.271204007531933e-05,5.270549986527669e-05,6.540497616281841e-09,4.722135744794397e-13,0.001418409541551889
1.4593880587605707e-14,0.4983899631795722,0.4997650946974171,7.586543155196562e-05,7.585411622833191e-05,1.1316038713035343e-08,1.1224409810032429e-12,0.0016932112580692019
2.2431553596089415e-14,0.4975274072459993,0.4995793202968696,0.00017626458722667398,0.0001762241742076774,4.041954561537029e-08,9.554025407769897e-12,0.002540743266597245
3.026922660457312e-14,0.4966663156902113,0.49935467699222597,0.0003155676865280018,0.0003154698195293426,9.789502112038646e-08,3.993438301087854e-11,0.003347871876549919
3.8106899613056826e-14,0.49580667711417814,0.4990933754780531,0.0004915704596559907,0.0004913779519082063,1.9259273555587945e-07,1.1887025631907705e-10,0.00411680628459706
4.594457262154053e-14,0.49494848074254844,0.4987976927755981,0.0007020018834631734,0.0007016693467753818,3.3274598099480604e-07,2.8816160486619126e-10,0.004849822217465283
5.435774736095e-14,0.4940288623839766,0.4984447303058506,0.0009635124489918574,0.0009629704448527023,5.424735841270654e-07,6.369051834104649e-10,0.005599381305825545
6.277092210035947e-14,0.49311088229655864,0.49805791664016913,0.0012589416387176998,0.001258120583734692,8.219899662940262e-07,1.2521005834432364e-09,0.0063133155987345375
7.118409683976894e-14,0.49219452957759363,0.49764042271016756,0.001585124207649974,0.0015839468728623836,1.179036692339982e-06,2.253401528830316e-09,0.006994795341612288
