time,CO*,O*,O2*,*
0.0,0.0,0.0,0.0,1.0
2.482775878337923e-07,1.246353490921833e-12,2.3793565645226296e-12,4.430172646430726e-15,0.9999999999963699
4.965551756675846e-07,2.4927069818392622e-12,4.768875701597097e-12,3.778105755487966e-15,0.9999999999927347
2.9793310540055076e-06,1.495624189062575e-11,2.8651050663894166e-11,3.766861827837155e-15,0.999999999956389
5.46210693234343e-06,2.7419776798970775e-11,5.2533201578916134e-11,3.767643572672845e-15,0.9999999999200433
3.0289865715722654e-05,1.5205512584363917e-10,2.913547263181902e-10,3.767645642581667e-15,0.9999999995565865
5.511762449910188e-05,2.766904748441605e-10,5.301762510176583e-10,3.76764554776772e-15,0.9999999991931297
0.00030339521233289414,1.5230439609711971e-09,2.9183914941333633e-09,3.767645547731749e-15,0.9999999955585609
0.0005516728001666864,2.7693974426835246e-09,5.3066067328356064e-09,3.767645547731018e-15,0.9999999919239921
0.003034448678504609,1.5232931871989098e-08,2.918875873214994e-08,3.767645547734088e-15,0.9999999555783057
0.0055172245568425315,2.7696465859823748e-08,5.307091029011808e-08,3.767645547776972e-15,0.9999999192326201
0.030344983340221756,1.5233176695639802e-07,2.9189238709896657e-07,3.767645550395656e-15,0.9999995557758422
0.05517274212360098,2.769670239058699e-07,5.307138197731331e-07,3.767645556995859e-15,0.9999991923191526
0.30345032995739324,1.5233157152210566e-06,2.918924269408373e-06,3.7676458419817065e-15,0.9999955577600116
0.5517279177911855,2.7696599918159534e-06,5.307130305512656e-06,3.767646525121481e-15,0.9999919232096989
3.0345037961291075,1.5232714937502275e-05,2.9188802932775937e-05,3.767675255159387e-15,0.9999555784821259
5.51727967446703,2.76953284011218e-05,5.307003414418455e-05,3.767743802452946e-15,0.9999192346374509
27.41416073267794,0.0001375906980142601,0.0002636720771788845,3.7700728486985874e-15,0.999598737224803
49.31104179088885,0.00024745139308379646,0.0004742394219166709,3.775500660083073e-15,0.9992783091849957
71.20792284909976,0.000357277080335742,0.0006847717104091797,3.784028667973965e-15,0.9989579512092511
175.00290232958912,0.0008773913985701638,0.0016822507711499563,3.866673592741547e-15,0.997440357830276
278.7978818100785,0.0013967158027891127,0.0026789353779257496,4.019160975637439e-15,0.995924348819281
382.59286129056784,0.0019152494577469445,0.0036748220115755464,4.241641791947658e-15,0.9944099285306732
761.3909699997364,0.0038009110440224364,0.007302469765365657,5.6498107050272726e-15,0.9888966191906061
1140.189078708905,0.005676000054187067,0.01091927471317795,7.999439635387573e-15,0.9834047252326269
1518.9871874180737,0.007540486068909662,0.014525066721962169,1.1297656402307269e-14,0.9779344472091167
1897.7852961272424,0.009394340299915973,0.01811967538703481,1.555147004335693e-14,0.9724859843130335
2899.399390116772,0.014244862479627828,0.02756934420645332,3.1454329133662576e-14,0.9581857933138869
3901.0134841063013,0.019020399428739097,0.03693644778130741,5.420880370400857e-14,0.9440431527899015
4902.627578095831,0.023720549544484,0.046217785134235856,8.3930271145553e-14,0.9300616653212044
5904.241672085362,0.028344982288100545,0.05541013109198118,1.207259161625439e-13,0.9162448866198154
7489.814115902911,0.03551012113053188,0.06977190599558884,1.9367293777741678e-13,0.8947179728737197
9075.38655972046,0.04248420785066086,0.08388958919952626,2.8492559771362095e-13,0.8736262029495927
10660.95900353801,0.049267012881423676,0.09775017256273,3.947457494398511e-13,0.8529828145555652
12246.531447355559,0.05585874802656109,0.11134064259809444,5.233109664171357e-13,0.8328006093749963
13832.103891173108,0.06226006543313167,0.12464803718515281,6.707037820261993e-13,0.8130918973812874
16009.899071160326,0.07074400928963111,0.1424409036783525,9.037757675426315e-13,0.7868150870313841
18187.694251147543,0.0788749895790578,0.15964286882430553,1.171882534627754e-12,0.7614821415957105
20365.48943113476,0.08665863908489471,0.1762223573873342,1.4741392698617152e-12,0.7371190035265176
22543.284611121977,0.09410200435959849,0.19214934326867666,1.8091600176814686e-12,0.7137486523701368
24721.079791109194,0.10121345662032298,0.2073958576642415,2.1750286953355398e-12,0.6913906857134918
26898.87497109641,0.1080025869772835,0.2219365316697274,2.5692851938631833e-12,0.6700608813506517
28717.375450126954,0.11343240821804464,0.23352131299300063,2.918090007618879e-12,0.6530462787862631
30535.875929157497,0.11865167107695877,0.24458742249473892,3.282584518467125e-12,0.6367609064252411
32354.37640818804,0.12366752931178446,0.25512591385917033,3.660517290520747e-12,0.6212065568256038
34172.87688721858,0.128487483630258,0.2651300579636551,4.049435390873524e-12,0.6063824584022551
35991.37736624913,0.13311931709265556,0.27459551280174754,4.446720728780894e-12,0.5922851701013675
37809.877845279676,0.13757102897448165,0.2835204589473779,4.849633734009715e-12,0.5789085120735106
39315.41457418889,0.1411261204885583,0.2905009305319241,5.18545960797698e-12,0.5683729489745264
40820.95130309811,0.14456800894041008,0.2971132572535497,5.521609025418529e-12,0.5583187338006805
42326.48803200733,0.14790138125961208,0.30336051741816733,5.8564883736521166e-12,0.5487381013165143
43832.024760916545,0.1511309162247161,0.3092470210508447,6.18853902234943e-12,0.5396220627184072
45337.56148982576,0.15426126187928202,0.3147782740561928,6.516258889885742e-12,0.5309604640581719
46843.09821873498,0.15729701435066823,0.3199609244914075,6.838222297861674e-12,0.5227420611512483
48525.783673136,0.16058358628570205,0.3253503785964522,7.1896238108938095e-12,0.5140660351108123
50208.46912753702,0.16376382851179497,0.3303262740356139,7.53047977284137e-12,0.5059098974452143
51891.15458193804,0.16684375794134637,0.33490222836874195,7.859289460474885e-12,0.4982540136822075
53573.84003633906,0.1698292008457579,0.3390930540699999,8.174762120163247e-12,0.4910777450762246
