               Entry              Nevents                           Time                    Temperature                         Energy                  O*                  CO*                  O2*                   O2                   CO                  CO2
                   1                    0         0.0000000000000000E+00         4.2300000000000000E+02        -1.4417865599999926E+04                2048                 8192                    0                    0                    0                    0
                   2               807783         1.0000000000000001E-01         4.2300000000000000E+02        -1.2888681199999008E+04                1416                 7526                    0                  -29                  -24                  690
                   3              1105375         2.0000000000000001E-01         4.2300000000000000E+02        -1.1913611799999213E+04                1069                 7127                    0                  -66                  -46                 1111
                   4              1345934         3.0000000000000004E-01         4.2300000000000000E+02        -1.1389222199999327E+04                 916                 6890                    0                 -137                 -104                 1406
                   5              1534124         4.0000000000000002E-01         4.2300000000000000E+02        -1.0916476799999416E+04                 774                 6678                    0                 -200                 -160                 1674
                   6              1723206         5.0000000000000000E-01         4.2300000000000000E+02        -1.0535516399999482E+04                 662                 6505                    0                 -262                 -223                 1910
                   7              1877917         5.9999999999999998E-01         4.2300000000000000E+02        -1.0283750799999520E+04                 609                 6376                    0                 -327                 -277                 2093
                   8              2002636         6.9999999999999996E-01         4.2300000000000000E+02        -1.0073325399999543E+04                 567                 6266                    0                 -393                 -341                 2267
                   9              2104249         7.9999999999999993E-01         4.2300000000000000E+02        -9.9095563999995484E+03                 557                 6164                    0                 -463                 -389                 2417
                  10              2231944         8.9999999999999991E-01         4.2300000000000000E+02        -9.7946909999995696E+03                 535                 6104                    0                 -526                 -477                 2565
                  11              2347943         9.9999999999999989E-01         4.2300000000000000E+02        -9.6707713999995722E+03                 527                 6027                    0                 -598                 -552                 2717
                  12              2465266         1.0999999999999999E+00         4.2300000000000000E+02        -9.5905743999995702E+03                 532                 5970                    0                 -669                 -632                 2854
                  13              2580173         1.2000000000000000E+00         4.2300000000000000E+02        -9.5021459999995623E+03                 540                 5905                    0                 -737                 -695                 2982
                  14              2682960         1.3000000000000000E+00         4.2300000000000000E+02        -9.4236517999995413E+03                 574                 5828                    0                 -828                 -766                 3130
                  15              2795897         1.4000000000000001E+00         4.2300000000000000E+02        -9.3464573999995337E+03                 602                 5757                    0                 -918                 -847                 3282
                  16              2927752         1.5000000000000002E+00         4.2300000000000000E+02        -9.1880431999995144E+03                 621                 5637                    0                -1013                 -898                 3453
                  17              3039565         1.6000000000000003E+00         4.2300000000000000E+02        -9.0802551999995067E+03                 641                 5551                    0                -1095                 -956                 3597
                  18              3159416         1.7000000000000004E+00         4.2300000000000000E+02        -8.9866761999994960E+03                 651                 5481                    0                -1173                -1032                 3743
                  19              3289412         1.8000000000000005E+00         4.2300000000000000E+02        -8.8274429999994973E+03                 645                 5379                    0                -1260                -1110                 3923
                  20              3432158         1.9000000000000006E+00         4.2300000000000000E+02        -8.7312839999994849E+03                 670                 5297                    0                -1350                -1183                 4078
                  21              3581343         2.0000000000000004E+00         4.2300000000000000E+02        -8.6728803999994525E+03                 707                 5230                    1                -1446                -1269                 4231
                  22              3727547         2.1000000000000005E+00         4.2300000000000000E+02        -8.5495403999994360E+03                 732                 5130                    0                -1542                -1338                 4400
                  23              3886998         2.2000000000000006E+00         4.2300000000000000E+02        -8.4275355999994117E+03                 773                 5019                    0                -1649                -1400                 4573
                  24              4037731         2.3000000000000007E+00         4.2300000000000000E+02        -8.2333835999994171E+03                 773                 4890                    0                -1751                -1475                 4777
                  25              4202018         2.4000000000000008E+00         4.2300000000000000E+02        -8.0680483999994231E+03                 782                 4773                    0                -1855                -1557                 4976
                  26              4345154         2.5000000000000009E+00         4.2300000000000000E+02        -7.9892135999994262E+03                 798                 4709                    0                -1946                -1659                 5142
                  27              4461486         2.6000000000000010E+00         4.2300000000000000E+02        -7.9089053999994348E+03                 827                 4634                    0                -2044                -1751                 5309
                  28              4614670         2.7000000000000011E+00         4.2300000000000000E+02        -7.8152587999994412E+03                 854                 4552                    0                -2140                -1834                 5474
                  29              4765899         2.8000000000000012E+00         4.2300000000000000E+02        -7.6789561999994403E+03                 856                 4460                    0                -2226                -1912                 5644
                  30              4905236         2.9000000000000012E+00         4.2300000000000000E+02        -7.5975031999994580E+03                 921                 4358                    0                -2340                -1973                 5807
                  31              5055828         3.0000000000000013E+00         4.2300000000000000E+02        -7.4634175999994686E+03                 963                 4238                    0                -2457                -2045                 5999
                  32              5204220         3.1000000000000014E+00         4.2300000000000000E+02        -7.3556281999994690E+03                 981                 4154                    0                -2560                -2149                 6187
                  33              5374012         3.2000000000000015E+00         4.2300000000000000E+02        -7.2441565999994773E+03                1003                 4063                    0                -2663                -2242                 6371
                  34              5538222         3.3000000000000016E+00         4.2300000000000000E+02        -7.1145563999994838E+03                1027                 3959                    0                -2769                -2326                 6559
                  35              5680320         3.4000000000000017E+00         4.2300000000000000E+02        -7.0563121999994992E+03                1101                 3867                    0                -2895                -2412                 6737
                  36              5857057         3.5000000000000018E+00         4.2300000000000000E+02        -6.8905701999995026E+03                1111                 3749                    0                -3004                -2502                 6945
                  37              6017668         3.6000000000000019E+00         4.2300000000000000E+02        -6.8167787999995180E+03                1174                 3654                    0                -3127                -2590                 7128
                  38              6146187         3.7000000000000020E+00         4.2300000000000000E+02        -6.7067261999995244E+03                1216                 3551                    0                -3244                -2679                 7320
                  39              6310730         3.8000000000000020E+00         4.2300000000000000E+02        -6.5543781999995263E+03                1216                 3449                    0                -3339                -2767                 7510
                  40              6452111         3.9000000000000021E+00         4.2300000000000000E+02        -6.4611171999995349E+03                1256                 3358                    0                -3454                -2866                 7700
                  41              6635081         4.0000000000000018E+00         4.2300000000000000E+02        -6.4025883999995622E+03                1342                 3255                    0                -3591                -2951                 7888
                  42              6790937         4.1000000000000014E+00         4.2300000000000000E+02        -6.3318497999995679E+03                1389                 3175                    0                -3715                -3072                 8089
                  43              6958761         4.2000000000000011E+00         4.2300000000000000E+02        -6.2607933999995867E+03                1467                 3071                    0                -3849                -3158                 8279
                  44              7128853         4.3000000000000007E+00         4.2300000000000000E+02        -6.1890213999995967E+03                1507                 2994                    0                -3966                -3275                 8473
                  45              7299651         4.4000000000000004E+00         4.2300000000000000E+02        -6.1265925999996143E+03                1588                 2894                    0                -4109                -3380                 8678
                  46              7470699         4.5000000000000000E+00         4.2300000000000000E+02        -6.0484893999996330E+03                1662                 2788                    0                -4247                -3476                 8880
                  47              7639054         4.5999999999999996E+00         4.2300000000000000E+02        -5.9765611999996536E+03                1731                 2689                    0                -4383                -3580                 9083
                  48              7835267         4.6999999999999993E+00         4.2300000000000000E+02        -5.7805063999996573E+03                1757                 2540                    0                -4508                -3655                 9307
                  49              8007723         4.7999999999999989E+00         4.2300000000000000E+02        -5.7686377999996794E+03                1839                 2472                    0                -4640                -3769                 9489
                  50              8176353         4.8999999999999986E+00         4.2300000000000000E+02        -5.6803643999996866E+03                1877                 2386                    0                -4749                -3863                 9669
                  51              8340672         4.9999999999999982E+00         4.2300000000000000E+02        -5.6475407999997060E+03                1954                 2308                    0                -4882                -3974                 9858
                  52              8500985         5.0999999999999979E+00         4.2300000000000000E+02        -5.5983205999997244E+03                2018                 2228                    0                -5005                -4076                10040
                  53              8679669         5.1999999999999975E+00         4.2300000000000000E+02        -5.5445059999997366E+03                2105                 2131                    0                -5154                -4190                10251
                  54              8864178         5.2999999999999972E+00         4.2300000000000000E+02        -5.4590273999997517E+03                2152                 2039                    0                -5276                -4295                10448
                  55              9061594         5.3999999999999968E+00         4.2300000000000000E+02        -5.3892033999997711E+03                2222                 1941                    0                -5409                -4393                10644
                  56              9233297         5.4999999999999964E+00         4.2300000000000000E+02        -5.4096271999997953E+03                2316                 1886                    0                -5540                -4506                10812
                  57              9412717         5.5999999999999961E+00         4.2300000000000000E+02        -5.3211285999998126E+03                2398                 1768                    0                -5685                -4596                11020
                  58              9604248         5.6999999999999957E+00         4.2300000000000000E+02        -5.2565901999998232E+03                2451                 1687                    0                -5809                -4710                11215
                  59              9746798         5.7999999999999954E+00         4.2300000000000000E+02        -5.2945129999998444E+03                2550                 1641                    0                -5936                -4819                11370
                  60              9887740         5.8999999999999950E+00         4.2300000000000000E+02        -5.2934687999998741E+03                2629                 1580                    1                -6059                -4923                11535
                  61             10045749         5.9999999999999947E+00         4.2300000000000000E+02        -5.2869787999998780E+03                2689                 1535                    0                -6168                -5038                11695
                  62             10231709         6.0999999999999943E+00         4.2300000000000000E+02        -5.2807125999998962E+03                2763                 1477                    0                -6297                -5164                11879
                  63             10372343         6.1999999999999940E+00         4.2300000000000000E+02        -5.1979093999999131E+03                2812                 1385                    0                -6410                -5249                12056
                  64             10540961         6.2999999999999936E+00         4.2300000000000000E+02        -5.2416585999999352E+03                2918                 1338                    0                -6547                -5370                12224
                  65             10674868         6.3999999999999932E+00         4.2300000000000000E+02        -5.2953195999999652E+03                3043                 1283                    0                -6684                -5464                12373
                  66             10822529         6.4999999999999929E+00         4.2300000000000000E+02        -5.3371303999999946E+03                3152                 1231                    0                -6820                -5575                12536
                  67             10985662         6.5999999999999925E+00         4.2300000000000000E+02        -5.3369064000000044E+03                3217                 1185                    0                -6940                -5704                12711
                  68             11139275         6.6999999999999922E+00         4.2300000000000000E+02        -5.3376764000000239E+03                3302                 1124                    0                -7062                -5802                12870
                  69             11280404         6.7999999999999918E+00         4.2300000000000000E+02        -5.3529204000000409E+03                3362                 1090                    0                -7165                -5914                13016
                  70             11447215         6.8999999999999915E+00         4.2300000000000000E+02        -5.3012938000000595E+03                3434                 1003                    0                -7293                -6011                13200
                  71             11608825         6.9999999999999911E+00         4.2300000000000000E+02        -5.3291010000000833E+03                3525                  955                    0                -7424                -6134                13371
                  72             11763060         7.0999999999999908E+00         4.2300000000000000E+02        -5.4026034000001100E+03                3627                  929                    1                -7549                -6254                13517
                  73             11897097         7.1999999999999904E+00         4.2300000000000000E+02        -5.4552152000001279E+03                3726                  894                    0                -7674                -6372                13670
                  74             12062203         7.2999999999999901E+00         4.2300000000000000E+02        -5.4894994000001516E+03                3822                  847                    0                -7801                -6483                13828
                  75             12186127         7.3999999999999897E+00         4.2300000000000000E+02        -5.5538868000001712E+03                3924                  817                    0                -7927                -6603                13978
                  76             12307408         7.4999999999999893E+00         4.2300000000000000E+02        -5.6561508000002004E+03                4029                  808                    0                -8043                -6721                14105
                  77             12424347         7.5999999999999890E+00         4.2300000000000000E+02        -5.7118840000002156E+03                4115                  784                    0                -8150                -6825                14233
                  78             12561175         7.6999999999999886E+00         4.2300000000000000E+02        -5.7665864000002375E+03                4217                  747                    0                -8274                -6934                14379
                  79             12691691         7.7999999999999883E+00         4.2300000000000000E+02        -5.8317130000002480E+03                4305                  729                    0                -8375                -7030                14493
                  80             12817691         7.8999999999999879E+00         4.2300000000000000E+02        -5.8834662000002818E+03                4391                  698                    0                -8479                -7121                14615
                  81             12955558         7.9999999999999876E+00         4.2300000000000000E+02        -5.9447490000003027E+03                4485                  671                    0                -8591                -7224                14745
                  82             13097954         8.0999999999999872E+00         4.2300000000000000E+02        -5.9617684000003119E+03                4542                  642                    0                -8687                -7330                14880
                  83             13258569         8.1999999999999869E+00         4.2300000000000000E+02        -5.9358458000003229E+03                4584                  594                    0                -8781                -7428                15026
                  84             13389238         8.2999999999999865E+00         4.2300000000000000E+02        -6.0085800000003410E+03                4665                  584                    0                -8878                -7531                15139
                  85             13545741         8.3999999999999861E+00         4.2300000000000000E+02        -6.0527730000003494E+03                4715                  578                    0                -8967                -7653                15267
                  86             13690785         8.4999999999999858E+00         4.2300000000000000E+02        -6.0957768000003580E+03                4784                  558                    1                -9066                -7760                15394
                  87             13811238         8.5999999999999854E+00         4.2300000000000000E+02        -6.1348250000003691E+03                4845                  541                    0                -9156                -7864                15515
                  88             13943875         8.6999999999999851E+00         4.2300000000000000E+02        -6.2368214000003991E+03                4942                  537                    0                -9268                -7987                15642
                  89             14069005         8.7999999999999847E+00         4.2300000000000000E+02        -6.3047734000004139E+03                4997                  542                    0                -9357                -8115                15765
                  90             14190243         8.8999999999999844E+00         4.2300000000000000E+02        -6.3242426000004143E+03                5058                  514                    0                -9442                -8196                15874
                  91             14326674         8.9999999999999840E+00         4.2300000000000000E+02        -6.3750032000004412E+03                5126                  496                    0                -9528                -8282                15978
                  92             14476219         9.0999999999999837E+00         4.2300000000000000E+02        -6.4112340000004569E+03                5170                  487                    0                -9614                -8401                16106
                  93             14625906         9.1999999999999833E+00         4.2300000000000000E+02        -6.4905684000004685E+03                5227                  499                    0                -9701                -8530                16223
                  94             14773165         9.2999999999999829E+00         4.2300000000000000E+02        -6.5276350000004777E+03                5295                  476                    0                -9801                -8639                16355
                  95             14904064         9.3999999999999826E+00         4.2300000000000000E+02        -6.5156600000004773E+03                5325                  448                    0                -9872                -8723                16467
                  96             15032458         9.4999999999999822E+00         4.2300000000000000E+02        -6.6226954000004935E+03                5402                  464                    0                -9959                -8836                16564
                  97             15141756         9.5999999999999819E+00         4.2300000000000000E+02        -6.6792170000005053E+03                5475                  450                    0               -10051                -8933                16675
                  98             15258839         9.6999999999999815E+00         4.2300000000000000E+02        -6.7752346000005327E+03                5558                  452                    0               -10142                -9034                16774
                  99             15362159         9.7999999999999812E+00         4.2300000000000000E+02        -6.8061118000005390E+03                5594                  447                    0               -10211                -9131                16876
