Time,C_CO,C_O,C_O2,C_E
0.0,0.0,0.0,0.0,1.0
1.0,0.0998806423611111,0.05935329861111111,0.0,0.8407660590277778
2.0,0.1047092013888889,0.056098090277777776,0.0,0.8391927083333334
3.0,0.10845269097222222,0.05235460069444445,5.425347222222222e-05,0.8391384548611112
4.0,0.1110568576388889,0.048773871527777776,0.0,0.8401692708333334
5.0,0.1144748263888889,0.045247395833333336,0.0,0.8402777777777778
6.0,0.11854383680555555,0.04172092013888889,0.0,0.8397352430555556
7.0,0.1213650173611111,0.038899739583333336,0.0,0.8397352430555556
8.0,0.1228298611111111,0.036783854166666664,0.0,0.8403862847222222
9.0,0.1252170138888889,0.034722222222222224,5.425347222222222e-05,0.8400065104166666
10.0,0.12635633680555555,0.032769097222222224,0.0,0.8408745659722222
11.0,0.1286892361111111,0.031141493055555556,0.0,0.8401692708333334
12.0,0.1293402777777778,0.02978515625,0.0,0.8408745659722222
13.0,0.1314019097222222,0.028700086805555556,0.0,0.8398980034722222
14.0,0.1315646701388889,0.027452256944444444,0.0,0.8409830729166666
15.0,0.1325412326388889,0.026312934027777776,5.425347222222222e-05,0.8410915798611112
16.0,0.13438585069444445,0.024522569444444444,0.0,0.8410915798611112
17.0,0.13525390625,0.023817274305555556,0.0,0.8409288194444444
18.0,0.13411458333333334,0.024305555555555556,0.0,0.8415798611111112
19.0,0.1361762152777778,0.023220486111111112,5.425347222222222e-05,0.8405490451388888
20.0,0.13731553819444445,0.021538628472222224,5.425347222222222e-05,0.8410915798611112
21.0,0.13709852430555555,0.021321614583333332,0.0,0.8415798611111112
22.0,0.1384548611111111,0.020941840277777776,0.0,0.8406032986111112
23.0,0.13807508680555555,0.020562065972222224,0.0,0.8413628472222222
24.0,0.1391059027777778,0.020345052083333332,0.0,0.8405490451388888
25.0,0.1384548611111111,0.02001953125,5.425347222222222e-05,0.8414713541666666
26.0,0.1388888888888889,0.020290798611111112,5.425347222222222e-05,0.8407660590277778
27.0,0.13856336805555555,0.019476996527777776,0.0,0.8419596354166666
28.0,0.1401909722222222,0.019097222222222224,0.0,0.8407118055555556
29.0,0.14095052083333334,0.017632378472222224,5.425347222222222e-05,0.8413628472222222
30.0,0.1405707465277778,0.017523871527777776,0.0,0.8419053819444444
31.0,0.14176432291666666,0.01708984375,0.0,0.8411458333333334
32.0,0.14268663194444445,0.016330295138888888,0.0,0.8409830729166666
33.0,0.1426323784722222,0.016330295138888888,0.0,0.8410373263888888
34.0,0.1425238715277778,0.01611328125,0.0,0.8413628472222222
35.0,0.1425238715277778,0.016059027777777776,0.0,0.8414171006944444
36.0,0.1423611111111111,0.015842013888888888,5.425347222222222e-05,0.8417426215277778
37.0,0.1423611111111111,0.015896267361111112,0.0,0.8417426215277778
38.0,0.1420355902777778,0.015787760416666668,0.0,0.8421766493055556
39.0,0.142578125,0.016004774305555556,0.0,0.8414171006944444
40.0,0.14241536458333334,0.016221788194444444,0.0,0.8413628472222222
41.0,0.14127604166666666,0.016438802083333332,0.0,0.84228515625
42.0,0.14274088541666666,0.016059027777777776,0.0,0.8412000868055556
43.0,0.14268663194444445,0.016221788194444444,0.0,0.8410915798611112
44.0,0.1426323784722222,0.016438802083333332,0.0,0.8409288194444444
45.0,0.1418185763888889,0.015842013888888888,0.0,0.8423394097222222
46.0,0.14268663194444445,0.015028211805555556,0.0,0.84228515625
47.0,0.1423611111111111,0.015896267361111112,0.0,0.8417426215277778
48.0,0.14306640625,0.016059027777777776,5.425347222222222e-05,0.8408203125
49.0,0.1413302951388889,0.015896267361111112,5.425347222222222e-05,0.8427191840277778
50.0,0.14295789930555555,0.015353732638888888,0.0,0.8416883680555556
51.0,0.14295789930555555,0.015787760416666668,0.0,0.8412543402777778
52.0,0.1413302951388889,0.016059027777777776,0.0,0.8426106770833334
53.0,0.1416558159722222,0.016004774305555556,0.0,0.8423394097222222
54.0,0.1413845486111111,0.016384548611111112,0.0,0.8422309027777778
55.0,0.14198133680555555,0.01611328125,0.0,0.8419053819444444
56.0,0.14246961805555555,0.016167534722222224,0.0,0.8413628472222222
57.0,0.142578125,0.016384548611111112,0.00010850694444444444,0.8409288194444444
58.0,0.14225260416666666,0.016167534722222224,0.0,0.8415798611111112
59.0,0.1428493923611111,0.01611328125,0.0,0.8410373263888888
60.0,0.14268663194444445,0.015625,0.0,0.8416883680555556
61.0,0.1436089409722222,0.015462239583333334,0.0,0.8409288194444444
62.0,0.1431206597222222,0.015516493055555556,0.0,0.8413628472222222
63.0,0.1430121527777778,0.015625,5.425347222222222e-05,0.84130859375
64.0,0.14290364583333334,0.015570746527777778,5.425347222222222e-05,0.8414713541666666
65.0,0.14246961805555555,0.015462239583333334,0.0,0.8420681423611112
66.0,0.1420355902777778,0.016330295138888888,0.0,0.8416341145833334
67.0,0.1410590277777778,0.016872829861111112,0.0,0.8420681423611112
68.0,0.1421440972222222,0.016764322916666668,0.0,0.8410915798611112
69.0,0.1420355902777778,0.015842013888888888,0.0,0.8421223958333334
70.0,0.14246961805555555,0.01611328125,0.0,0.8414171006944444
