Time,CO*,O*,O2*,*,R_CO,R_O2,R_CO2
0.0,0.0078125,0.4423828125,0.0,0.5498046875,0.0,-0.0020250108506944444,0.00011718750000000001
100.0,0.0,0.7192925347222222,0.0,0.2807074652777778,0.0,-0.0008222113715277777,3.90625e-05
200.0,0.0,0.7634548611111112,0.0,0.2365451388888889,0.0,-0.0001727973090277778,0.0
300.0,0.0,0.7884114583333334,0.0,0.21158854166666666,0.0,-0.00010525173611111111,0.0
400.0,0.0,0.8055555555555556,0.0,0.19444444444444445,0.0,-7.676866319444445e-05,0.0
500.0,0.0,0.8191189236111112,0.0,0.1808810763888889,0.0,-5.669487847222222e-05,0.0
600.0,0.0,0.8282335069444444,0.0,0.17176649305555555,0.0,-4.638671875e-05,0.0
700.0,0.0,0.8376736111111112,0.0,0.1623263888888889,0.0,-4.286024305555556e-05,0.0
800.0,0.0,0.8453776041666666,0.0,0.15462239583333334,0.0,-3.689236111111111e-05,0.0
900.0,0.0,0.8524305555555556,0.0,0.14756944444444445,0.0,-2.9568142361111112e-05,0.0
1000.0,0.0,0.8572048611111112,0.0,0.1427951388888889,0.0,-2.0887586805555555e-05,0.0
1100.0,0.0,0.8607855902777778,0.0,0.1392144097222222,0.0,-1.6276041666666666e-05,0.0
1200.0,0.0,0.8637152777777778,0.0,0.1362847222222222,0.0,-1.681857638888889e-05,0.0
1300.0,0.0,0.8675130208333334,0.0,0.13248697916666666,0.0,-1.8174913194444446e-05,0.0
1400.0,0.0,0.8709852430555556,0.0,0.12901475694444445,0.0,-1.5733506944444444e-05,0.0
1500.0,0.0,0.8738064236111112,0.0,0.1261935763888889,0.0,-1.4648437500000001e-05,0.0
1600.0,0.0,0.8768446180555556,0.0,0.12315538194444445,0.0,-1.4919704861111112e-05,0.0
1700.0,0.0,0.8797743055555556,0.0,0.12022569444444445,0.0,-1.3563368055555555e-05,0.0
1800.0,0.0,0.8822699652777778,0.0,0.11773003472222222,0.0,-1.0308159722222223e-05,0.0
1900.0,0.0,0.8838975694444444,0.0,0.11610243055555555,0.0,-9.223090277777778e-06,0.0
2000.0,0.0,0.8859592013888888,0.0,0.1140407986111111,0.0,-7.3242187500000006e-06,0.0
2100.0,0.0,0.8868272569444444,0.0,0.11317274305555555,0.0,-5.154079861111111e-06,0.0
2200.0,0.0,0.8880208333333334,0.0,0.11197916666666667,0.0,-6.510416666666666e-06,0.0
2300.0,0.0,0.8894314236111112,0.0,0.1105685763888889,0.0,-8.138020833333333e-06,0.0
2400.0,0.0,0.8912760416666666,0.0,0.10872395833333333,0.0,-8.951822916666667e-06,0.0
2500.0,0.0,0.8930121527777778,0.0,0.10698784722222222,0.0,-7.866753472222222e-06,0.0
2600.0,0.0,0.8944227430555556,0.0,0.10557725694444445,0.0,-8.680555555555556e-06,0.0
2700.0,0.0,0.896484375,0.0,0.103515625,0.0,-8.409288194444444e-06,0.0
2800.0,0.0,0.8977864583333334,0.0,0.10221354166666667,0.0,-5.4253472222222224e-06,0.0
2900.0,0.0,0.8986545138888888,0.0,0.1013454861111111,0.0,-5.967881944444445e-06,0.0
3000.0,0.0,0.9001736111111112,0.0,0.0998263888888889,0.0,-6.239149305555556e-06,0.0
3100.0,0.0,0.9011501736111112,0.0,0.0988498263888889,0.0,-5.696614583333333e-06,0.0
3200.0,0.0,0.9024522569444444,0.0,0.09754774305555555,0.0,-5.4253472222222224e-06,0.0
3300.0,0.0,0.9033203125,0.0,0.0966796875,0.0,-4.069010416666667e-06,0.0
3400.0,0.0,0.9040798611111112,0.0,0.0959201388888889,0.0,-4.8828125e-06,0.0
3500.0,0.0,0.9052734375,0.0,0.0947265625,0.0,-4.8828125e-06,0.0
3600.0,0.0,0.9060329861111112,0.0,0.0939670138888889,0.0,-3.255208333333333e-06,0.0
3700.0,0.0,0.9065755208333334,0.0,0.09342447916666667,0.0,-2.170138888888889e-06,0.0
3800.0,0.0,0.9069010416666666,0.0,0.09309895833333333,0.0,-2.9839409722222224e-06,0.0
3900.0,0.0,0.9077690972222222,0.0,0.09223090277777778,0.0,-4.340277777777778e-06,0.0
4000.0,0.0,0.9086371527777778,0.0,0.09136284722222222,0.0,-4.611545138888889e-06,0.0
4100.0,0.0,0.9096137152777778,0.0,0.09038628472222222,0.0,-3.255208333333333e-06,0.0
4200.0,0.0,0.9099392361111112,0.0,0.0900607638888889,0.0,-4.069010416666667e-06,0.0
4300.0,0.0,0.9112413194444444,0.0,0.08875868055555555,0.0,-4.611545138888889e-06,0.0
4400.0,0.0,0.9117838541666666,0.0,0.08821614583333333,0.0,-2.44140625e-06,0.0
4500.0,0.0,0.9122178819444444,0.0,0.08778211805555555,0.0,-2.9839409722222224e-06,0.0
4600.0,0.0,0.9129774305555556,0.0,0.08702256944444445,0.0,-2.7126736111111112e-06,0.0
4700.0,0.0,0.9133029513888888,0.0,0.0866970486111111,0.0,-2.44140625e-06,0.0
4800.0,0.0,0.9139539930555556,0.0,0.08604600694444445,0.0,-2.7126736111111112e-06,0.0
4900.0,0.0,0.9143880208333334,0.0,0.08561197916666667,0.0,-2.170138888888889e-06,0.0
5000.0,0.0,0.9148220486111112,0.0,0.0851779513888889,0.0,-2.7126736111111112e-06,0.0
5100.0,0.0,0.9154730902777778,0.0,0.08452690972222222,0.0,-3.255208333333333e-06,0.0
5200.0,0.0,0.9161241319444444,0.0,0.08387586805555555,0.0,-3.5264756944444447e-06,0.0
5300.0,0.0,0.9168836805555556,0.0,0.08311631944444445,0.0,-3.5264756944444447e-06,0.0
5400.0,0.0,0.9175347222222222,0.0,0.08246527777777778,0.0,-1.898871527777778e-06,0.0
5500.0,0.0,0.9176432291666666,0.0,0.08235677083333333,0.0,-1.0850694444444444e-06,0.0
5600.0,0.0,0.91796875,0.0,0.08203125,0.0,-1.6276041666666666e-06,0.0
5700.0,0.0,0.9182942708333334,0.0,0.08170572916666667,0.0,-1.898871527777778e-06,0.0
5800.0,0.0,0.9187282986111112,0.0,0.0812717013888889,0.0,-2.170138888888889e-06,0.0
5900.0,0.0,0.9191623263888888,0.0,0.0808376736111111,0.0,-2.7126736111111112e-06,0.0
6000.0,0.0,0.9198133680555556,0.0,0.08018663194444445,0.0,-2.44140625e-06,0.0
6100.0,0.0,0.9201388888888888,0.0,0.0798611111111111,0.0,-1.0850694444444444e-06,0.0
6200.0,0.0,0.9202473958333334,0.0,0.07975260416666667,0.0,-8.138020833333333e-07,0.0
6300.0,0.0,0.9204644097222222,0.0,0.07953559027777778,0.0,-1.898871527777778e-06,0.0
6400.0,0.0,0.9210069444444444,0.0,0.07899305555555555,0.0,-1.898871527777778e-06,0.0
6500.0,0.0,0.9212239583333334,0.0,0.07877604166666667,0.0,-1.0850694444444444e-06,0.0
6600.0,0.0,0.9214409722222222,0.0,0.07855902777777778,0.0,-1.0850694444444444e-06,0.0
6700.0,0.0,0.9216579861111112,0.0,0.0783420138888889,0.0,-8.138020833333333e-07,0.0
6800.0,0.0,0.9217664930555556,0.0,0.07823350694444445,0.0,-1.0850694444444444e-06,0.0
6900.0,0.0,0.9220920138888888,0.0,0.0779079861111111,0.0,-1.0850694444444444e-06,0.0
7000.0,0.0,0.9222005208333334,0.0,0.07779947916666667,0.0,-1.0850694444444444e-06,0.0
7100.0,0.0,0.9225260416666666,0.0,0.07747395833333333,0.0,-8.138020833333333e-07,0.0
7200.0,0.0,0.9225260416666666,0.0,0.07747395833333333,0.0,-8.138020833333333e-07,0.0
7300.0,0.0,0.9228515625,0.0,0.0771484375,0.0,-1.0850694444444444e-06,0.0
7400.0,0.0,0.9229600694444444,0.0,0.07703993055555555,0.0,-2.712673611111111e-07,0.0
7500.0,0.0,0.9229600694444444,0.0,0.07703993055555555,0.0,-5.425347222222222e-07,0.0
7600.0,0.0,0.9231770833333334,0.0,0.07682291666666667,0.0,-1.3563368055555556e-06,0.0
7700.0,0.0,0.9235026041666666,0.0,0.07649739583333333,0.0,-1.3563368055555556e-06,0.0
7800.0,0.0,0.9237196180555556,0.0,0.07628038194444445,0.0,-1.3563368055555556e-06,0.0
