time,CO*,O*,O2*,*
0.0,0.0,0.0,0.0,1.0
2.5133997214292567e-07,1.2617266601496747e-12,2.4088132140003157e-12,4.430589641397206e-15,0.9999999999963249
5.026799442858513e-07,2.5234533202903075e-12,4.827790913760786e-12,3.777982957407394e-15,0.999999999992645
3.0160796657151076e-06,1.514071992090037e-11,2.900454044516163e-11,3.766870627634809e-15,0.999999999955851
5.529479387144364e-06,2.7757986520603977e-11,5.318126620905595e-11,3.767643619267047e-15,0.999999999919057
3.0663476601436926e-05,1.539306524380105e-10,2.9494853918473106e-10,3.7676456403789494e-15,0.9999999995511171
5.5797473815729484e-05,2.80103318264771e-10,5.36715812032403e-10,3.767645547766561e-15,0.9999999991831772
0.00030713744595865507,1.5418299685694216e-09,2.954388528891312e-09,3.767645547731759e-15,0.9999999955037778
0.0005584774181015806,2.803556609809471e-09,5.372061232527235e-09,3.767645547730973e-15,0.9999999918243785
0.0030718771395308363,1.5420822225914595e-08,2.9548787107290706e-08,3.767645547734439e-15,0.9999999550303871
0.0055852768609600915,2.8038086935559746e-08,5.3725511659755796e-08,3.7676455477787085e-15,0.9999999182363977
0.030719274075252646,1.542106544025369e-07,2.9549264102490145e-07,3.7676455504655956e-15,0.9999995502967008
0.0558532712895452,2.803831312236547e-07,5.372596381603576e-07,3.767645557232823e-15,0.9999991823572268
0.3071932434324708,1.5420999365502307e-06,2.9549179936355854e-06,3.767645849322442e-15,0.9999955029820661
0.5585332155753964,2.8038076774284813e-06,5.372563126290732e-06,3.767646549442219e-15,0.9999918236291926
3.071932937004652,1.542008886058676e-05,2.9547852936087834e-05,3.767675990921525e-15,0.9999550320581997
5.585332658433908,2.8035463736495536e-05,5.3721820612731165e-05,3.767746231539829e-15,0.9999182427156472
22.93590901057243,0.00011509818464475814,0.00022056509818723136,3.769343910711956e-15,0.9996643367171644
40.286485362710955,0.0002021174649429895,0.00038734499015900933,3.772885039967927e-15,0.9994105375448945
57.63706171484948,0.0002890928304537002,0.0005540607931405927,3.778368855807698e-15,0.9991568463764022
131.99012075243394,0.0006613129456722144,0.001267766039171125,3.823850935614746e-15,0.9980709210151529
206.34317979001838,0.0010327262397550536,0.0019802926030184622,3.904934020543547e-15,0.9969869811572227
280.6962388276028,0.001403334634867099,0.0026916423666912288,4.021557599227998e-15,0.995905022998438
507.55153169582456,0.002529139052866294,0.00485477013166884,4.5963973317489496e-15,0.9926160908154605
734.4068245640462,0.003647535654315906,0.00700703065509185,5.499809920479597e-15,0.9893454336905868
961.2621174322679,0.004758584871481548,0.009148486217978515,6.730087295439998e-15,0.9860929289105334
1395.4103431468316,0.006864603225618253,0.013216828721159245,9.98969840160059e-15,0.9799185680532128
1829.558568861395,0.008944355264295684,0.01724626073129804,1.4428322716088572e-14,0.9738093840043921
2263.7067945759586,0.010998264984020846,0.021237218549958307,2.0034143835043425e-14,0.9677645164660009
2697.855020290522,0.013026745101724151,0.025190126567815233,2.679540183470024e-14,0.9617831283304339
3546.1612404897965,0.016918425505974406,0.032805673012609754,4.3296609171106954e-14,0.9502759014813725
4394.467460689071,0.0207174531954294,0.04028050347739408,6.407767894362961e-14,0.9390020433271126
5242.773680888346,0.024426638970867404,0.04761750137072779,8.905236980794921e-14,0.9279558596583158
6091.07990108762,0.028048688406118658,0.05481943959202772,1.181349159866569e-13,0.9171318720017355
7882.985096696486,0.035424895095065606,0.06960031406782087,1.9268575193847323e-13,0.8949747908369208
9674.890292305352,0.04244710850230499,0.08381418810561243,2.843841927233913e-13,0.8737387033917982
11466.795487914218,0.049136905364723746,0.09748313908034753,3.924314415394807e-13,0.8533799555545365
13258.700683523084,0.05551434740608844,0.11062771301398668,5.160284069021714e-13,0.833857939579409
15050.60587913195,0.0615981097419306,0.12326707748345994,6.543733565638002e-13,0.8151348127739552
17397.39262001756,0.06915045989554401,0.13908598986881263,8.565174635414534e-13,0.791763550234787
19744.179360903167,0.07626486009427325,0.15410635192839903,1.0807463658213395e-12,0.7696287879762473
22090.966101788774,0.08297428863551934,0.16836269212255825,1.3252145132253994e-12,0.7486630192405974
24437.75284267438,0.0893089465319753,0.18188706367058777,1.5880567503537996e-12,0.728803989795849
26784.53958355999,0.09529653203566224,0.19470938209870434,1.8673883990944776e-12,0.7099940858637663
29131.326324445596,0.10096248707327221,0.20685772775694938,2.1613133730203045e-12,0.6921797851676175
32621.066807475505,0.10884298443765175,0.22373300187551978,2.6212860474189273e-12,0.6674240136842076
36110.807290505414,0.11613316076214501,0.23925812823195095,3.1030754775207222e-12,0.6446087110028014
39600.54777353532,0.12289472888779714,0.25350980774127607,3.6005075748380012e-12,0.6235954633673266
43090.288256565225,0.12918252952019377,0.26656062883446263,4.107590596532984e-12,0.6042568416412365
46580.02873959513,0.13504537104138342,0.2784798946166376,4.618578490841058e-12,0.5864747343373609
50069.76922262504,0.14052676316435075,0.28933427503685244,5.1280142709742446e-12,0.5701389617936692
54321.43535781255,0.1467454143204857,0.30121280506495224,5.73939075556512e-12,0.5520417806088231
58573.10149300007,0.1525173016206421,0.3117190563108656,6.333053227347552e-12,0.5357636420621598
62824.76762818758,0.15789657317147737,0.3209619149948943,6.902166518070623e-12,0.5211415118267266
67076.4337633751,0.16293049124846765,0.32904633463865174,7.44120840928367e-12,0.50802317410544
71328.09989856262,0.1676603173824026,0.33607313358899615,7.945984965594519e-12,0.4962665490206557
75579.76603375014,0.17212208761100908,0.34213868818856336,8.413589700986501e-12,0.48573922419201443
80989.31617683917,0.17746063283938018,0.3486103751392323,8.952238216081207e-12,0.47392899201243577
