time,CO*,H2O*,H*,OH*,COOH*,CO2*,*
8.358513460873032e-14,0.49084677007971356,0.4969760389553525,0.002115058602962431,0.0021132013320978066,1.8609001538918572e-06,4.7406735279606695e-09,0.00794706538902496
9.248318522438481e-14,0.4898818685233361,0.4964686525564488,0.0025260866125132488,0.0025236188694667734,2.4735472787099605e-06,7.532013921353938e-09,0.008597292358938106
1.0342102057910896e-13,0.48869821846985206,0.49581650574105907,0.003059921249633936,0.003056553947972215,3.3769695813451436e-06,1.2491047527153561e-08,0.009365411130869729
1.143588559338331e-13,0.4875172511097463,0.49513993667402767,0.0036183328635473106,0.003613894589246965,4.4534199838982e-06,1.9569833460799117e-08,0.010106111773651472
1.2529669128855727e-13,0.48633895408746997,0.49444612337571653,0.004194147552818613,0.004188461844674101,5.708246272992484e-06,2.926434229208302e-08,0.010826575628764178
1.3623452664328143e-13,0.48516331738273205,0.49374183323041154,0.004780600402793658,0.004773488042909219,7.144455780574726e-06,4.209425947866919e-08,0.011533574391182293
1.471723619980056e-13,0.4839903331189979,0.49303327004299313,0.005371488587335892,0.005362769668126566,8.762910639179857e-06,5.859328541728384e-08,0.012233317078676144
1.5811019735272975e-13,0.48281999533733655,0.492325952470621,0.005961293118201695,0.005950788855848342,1.056255649575012e-05,7.930081341641037e-08,0.012931328360718987
1.6868499167968413e-13,0.4816910147241824,0.49164776803067056,0.006526017565113144,0.006513619728864804,1.2472198100326404e-05,1.0382835919064057e-07,0.01360900392474226
1.792597860066385e-13,0.48056450116585503,0.4909787644653381,0.007081709069854891,0.007067256548721935,1.4544983917143446e-05,1.3327303463498616e-07,0.014293090493318686
1.8983458033359289e-13,0.47944045300102933,0.49032180488683474,0.0076255017913950006,0.007608837845170839,1.677625314924293e-05,1.6810529550312465e-07,0.0149864581171724
2.0040937466054726e-13,0.47831886932106793,0.48967906960195007,0.008155212239243845,0.008136185122989458,1.916060026043383e-05,2.0878263760855008e-07,0.015691294331899315
2.1098416898750164e-13,0.47719974975889456,0.489052106931448,0.00866928860086587,0.008647751984647836,2.169208731776306e-05,2.557470559271051e-07,0.01640915488981911
2.2155896331445602e-13,0.47608309429914886,0.4884419010231845,0.009166743056706913,0.009142556266248858,2.436443533675603e-05,3.094228460819654e-07,0.017141031496579324
2.332260051022677e-13,0.4748539611538803,0.48778869539441344,0.009695703356080323,0.009668436337830075,2.7468491979674256e-05,3.7691459313571336e-07,0.017965358351278566
2.4489304689007936e-13,0.4736278279228979,0.48715658582348526,0.010203722192259951,0.010173218366359392,3.072744825429553e-05,4.5358035746092186e-07,0.018807464666444375
2.56560088677891e-13,0.47240469478604324,0.48654520427704867,0.010691162729778794,0.010657272973985166,3.4132733389178405e-05,5.398977987535465e-07,0.019666992602015935
2.682271304657027e-13,0.4711845616798745,0.485953835297757,0.01115873576477971,0.01112131810373162,3.767604866809676e-05,6.36306954396873e-07,0.020543236798293188
2.7989417225351436e-13,0.46996742820339127,0.4853815230538781,0.011607392724642394,0.011566311948860583,4.134946551846588e-05,7.432079247397403e-07,0.0214352513958395
2.9156121404132603e-13,0.4687532935570035,0.4848271611744137,0.012038235860809194,0.011993363105445172,4.514549010990124e-05,8.609590252138029e-07,0.022341939853243422
3.047240828273621e-13,0.46738709380693305,0.48422179016063216,0.012504410985151556,0.012455112755114994,4.9566621995866656e-05,1.0072258550034872e-06,0.02338101844435889
3.178869516133982e-13,0.4660247071161112,0.48363603137882544,0.012951137769554555,0.012897265368168268,5.41255441061829e-05,1.1680894915055535e-06,0.024435564733770544
3.3104982039943427e-13,0.46466613033606646,0.4830681993819171,0.01338009706898712,0.013321508948390355,5.881368666368007e-05,1.3438656613148792e-06,0.025503906712323728
3.4421268918547036e-13,0.4633113596523183,0.48251669855879614,0.013792880319957901,0.013729441458098832,6.362321861139816e-05,1.5348015095876771e-06,0.026584461990699495
3.5737555797150644e-13,0.4619603906334229,0.48198005230833485,0.014190960327923885,0.01412254166063783,6.854699892642543e-05,1.7410785652300023e-06,0.027675766992165948
3.705384267575425e-13,0.4606132182853441,0.4814569181989957,0.014575676068604484,0.014502153977966049,7.357852134021364e-05,1.9628167365412733e-06,0.028776492130979877
3.8888727674108747e-13,0.4587416040347363,0.4807479749347174,0.015091906935413343,0.015011073846375922,8.076104493691082e-05,2.29782619889624e-06,0.03032438137758182
4.072361267246324e-13,0.4568773404084518,0.48006013231750044,0.015587310694528846,0.015498948290402624,8.8127035663433e-05,2.6630038782781e-06,0.03188547824953684
4.255849767081774e-13,0.45502040966517504,0.4793910123360975,0.016064258490998982,0.01596815941389659,9.566372348655256e-05,3.058193553986348e-06,0.03345743817675691
