time,CO*,H2O*,H*,OH*,COOH*,CO2*,*
1.266287585457249e-13,0.4633113633394566,0.48251670004068187,0.013792879215904885,0.013729440367440535,6.362320534843763e-05,1.5348009687146572e-06,0.026584459030153874
1.3147110804434158e-13,0.46196039411977075,0.481980053676834,0.014190959317271224,0.014122540663010226,6.85469860659332e-05,1.7410780126708486e-06,0.02767576415890847
1.3631345754295825e-13,0.4606132215718361,0.48145691946119407,0.014575675144309755,0.014502153066278308,7.357850892872869e-05,1.962816176413193e-06,0.0287764894310922
1.430636191888957e-13,0.45874160814763076,0.4807479764712673,0.015091905822795518,0.01501107275009193,8.076102892326361e-05,2.297825428566411e-06,0.030324377953641696
1.4981378083483314e-13,0.45687734534089247,0.4800601341150326,0.015587309406714189,0.015498947022819433,8.812701591256515e-05,2.663002870795724e-06,0.03188547409554658
1.5656394248077059e-13,0.45502041541056737,0.47939101438346915,0.01606425703890508,0.015968157986090543,9.566369987694063e-05,3.0581922830072555e-06,0.03345743328861485
1.6331410412670803e-13,0.45317079946042216,0.47873863525188615,0.016524724560191616,0.01642069139001085,0.00010335967877570784,3.483106175077877e-06,0.03503830655235093
1.7006426577264548e-13,0.45132847764451317,0.4781013434970881,0.016970359580006558,0.016858203872843966,0.00011120469173784768,3.937354641055674e-06,0.03662647335897821
1.8088705170103103e-13,0.4483897853020833,0.47710766046196385,0.017657271487353264,0.01753171983675113,0.00012407097367304038,4.72569366020497e-06,0.03918476624430616
1.9170983762941659e-13,0.4454697022383991,0.47614468795836906,0.0183140960728955,0.01817471591003498,0.00013726258437756194,5.586029970574296e-06,0.041753949205738924
2.0253262355780214e-13,0.4425681368938649,0.4752088596752086,0.018944382849606718,0.01879076900110239,0.00015074938352203126,6.5159944090266e-06,0.04433058620208043
2.133554094861877e-13,0.43968499527656246,0.4742973557161702,0.01955093672777609,0.019382708611039398,0.00016450443752427877,7.513161343840686e-06,0.046911986069384945
2.2417819541457325e-13,0.43682018152432833,0.47340789624965546,0.020136024079031353,0.019952823341367817,0.0001785033907738684,8.575128666158355e-06,0.04949599628597744
2.3500098134295883e-13,0.43397359835451704,0.4725385894837165,0.02070152451897676,0.020503013047238446,0.00019272397579615807,9.699566860973217e-06,0.05208085105269088
2.457338062574875e-13,0.4311685835545227,0.4716948298443612,0.021244550957738178,0.02103054037627942,0.00020702500389435265,1.0874151575937516e-05,0.054643596111423984
2.564666311720162e-13,0.42838130404723546,0.47086796594587477,0.021771217263172406,0.021541409956997548,0.00022150521229571897,1.2105889587021915e-05,0.057204491684634144
2.671994560865449e-13,0.4256116624533427,0.47005683091417405,0.0222826811906109,0.022036794953324383,0.00023614728702779953,1.3392783421486935e-05,0.05976249041789686
2.779322810010736e-13,0.42285956090817495,0.4692604011617028,0.02277995789730154,0.02251772482662122,0.0002509350401416772,1.4732916684108243e-05,0.062316687249171505
2.8866510591560226e-13,0.4201249011909614,0.4684777690241256,0.023263947216553893,0.022985112739854548,0.00026585328808344645,1.6124445675024443e-05,0.06486629209454328
2.9939793083013095e-13,0.41740758483109636,0.46770812393326255,0.023735452409359252,0.02343977441916557,0.0002808877533948644,1.756559030311667e-05,0.0674106110632154
3.14798929037535e-13,0.4135384907867429,0.4666249738447728,0.024391653537971725,0.024071406367292644,0.0003026376247232345,1.9716785203025334e-05,0.07105112105309105
3.30199927244939e-13,0.4097046130128275,0.4655651856230396,0.02502549551934285,0.024680236714387745,0.00032456216440223713,2.1961666361267223e-05,0.0746779452994363
3.4560092545234303e-13,0.40590565977436305,0.46452710897889765,0.02563861134536097,0.025267927956107314,0.00034662719598984085,2.429548256822151e-05,0.07828976926651063
3.6100192365974706e-13,0.40214133966771104,0.4635092890485046,0.026232439819565603,0.02583594619387974,0.000368801078783837,2.671363021497291e-05,0.08188547056113786
3.764029218671511e-13,0.3984113618681942,0.4625104390439983,0.02680825273538913,0.026385588575755934,0.00039105446340062744,2.9211636457687743e-05,0.08546409167660159
3.9939703409911214e-13,0.3929056884029557,0.4610519835168273,0.027636848148842163,0.027174490975287274,0.0004243686835351116,3.30804507317855e-05,0.09077353982161822
4.223911463310732e-13,0.3874749609199185,0.4596299697789938,0.028431054509506587,0.027928325827378975,0.000457716720686139,3.7103613149806705e-05,0.09604086863016369
4.4538525856303425e-13,0.38211822395794043,0.4582415407932017,0.029193688776819687,0.028649975757824603,0.0004910238779998806,4.1267683426932013e-05,0.10126427915258429
