time,CO*,O*,O2*,*
0.0,0.0,0.0,0.0,1.0
7.113239141861454e-06,1.771195953056908e-14,3.3038251483456873e-15,2.023480816126937e-15,0.999999999999977
1.4226478283722908e-05,3.5423912202277755e-14,6.6077901362144175e-15,1.7076643947500784e-15,0.9999999999999561
8.535886970233746e-05,2.1254283494710068e-13,3.964725122627247e-14,1.7076394610424392e-15,0.9999999999997462
0.00015649126112095199,3.896610701388596e-13,7.268671231471853e-14,1.7076412660855582e-15,0.9999999999995359
0.0008678151753070973,2.1607830244808615e-12,4.030813231990645e-13,1.7076412661038616e-15,0.9999999999974345
0.0015791390894932425,3.931836227787817e-12,7.334759340820509e-13,1.7076412660992414e-15,0.999999999995333
0.008692378231354695,2.1636330762525265e-11,4.037422042792067e-12,1.7076412660633678e-15,0.9999999999743244
0.015805617373216146,3.933395487000564e-11,7.341368151364886e-12,1.7076412660275056e-15,0.999999999953323
0.08693800879183067,2.157086982700071e-10,4.038082922462524e-11,1.7076412656699122e-15,0.9999999997439089
0.1580704002104452,3.914010509626262e-10,7.342029028292942e-11,1.707641265313484e-15,0.999999999535177
0.8693943143965903,2.0903524327891746e-09,4.0381489915304546e-10,1.7076412618481923e-15,0.9999999975058311
1.5807182285827355,3.725484156487641e-09,7.342095053655766e-10,1.7076412584918784e-15,0.9999999955403046
8.693957370444187,1.5899462028182527e-08,4.03815505639306e-09,1.7076412320619282e-15,0.9999999800623813
15.807196512305637,2.453034455292289e-08,7.342099667962584e-09,1.707641211682134e-15,0.9999999681275542
86.93958793092014,4.310186468939824e-08,4.038143465902342e-08,1.7076411235519423e-15,0.9999999165166991
158.07197934953464,4.494031496369553e-08,7.342064366999161e-08,1.7076410639951917e-15,0.9999998816390397
869.3958935356796,4.471566240538961e-08,4.0380225498900295e-07,1.707640500222396e-15,0.999999551482081
1580.7198077218245,4.462462273042717e-08,7.34171982613175e-07,1.7076399362417368e-15,0.999999221203393
8693.958949583273,4.4619385182789165e-08,4.036823889463949e-06,1.7076342966745643e-15,0.9999959185567237
15807.198091444723,4.4616643191834543e-08,7.338286279013227e-06,1.7076286591343365e-15,0.9999926170970763
86939.58951005922,4.4585204496647615e-08,4.024882446284481e-05,1.707572461474603e-15,0.9999597065903311
158071.9809286737,4.455391762674946e-08,7.304139054086769e-05,1.707516465262552e-15,0.9999269140555399
869395.8951148186,4.4253065822477294e-08,0.0003910038500879784,1.7069735161661066e-15,0.9996089518968384
1580719.8093009635,4.396592127640275e-08,0.0006980807372037932,1.7064491551503493e-15,0.9993018752968595
6000000.0,4.2423664358146516e-08,0.0024057347515458014,1.7035331846019245e-15,0.9975942228252844
