time,CO*,H2O*,H*,OH*,COOH*,CO2*,*
0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
5.097331414282619e-18,0.4999984689199687,0.4999998488510479,1.1898636193236204e-10,1.189863195679415e-10,4.2364420534999616e-17,7.237408590986885e-20,1.6819910106291578e-06
1.0194662828565238e-17,0.49999693784702376,0.49999969756483664,3.7552429093211017e-10,3.7552410825118893e-10,1.8268092119508364e-16,2.2841369158859278e-19,3.3638370909554324e-06
6.116797697139143e-17,0.49998162774134236,0.49999817262546126,1.504392922611849e-08,1.5043875264289125e-08,5.396182900870054e-14,9.151694125512516e-18,2.016954533779526e-05
1.121412911142176e-16,0.4999663183454763,0.49999663394837923,4.3479384739019655e-08,4.34791675915538e-08,2.1714746709117402e-13,2.6461856798782488e-17,3.6960747374950934e-05
2.648572476039515e-16,0.4999204553528382,0.49999194809235287,2.0481703805302506e-07,2.0481510498833618e-07,1.9330648580986865e-12,1.253560179147174e-16,8.718692073265004e-05
4.1757320409368536e-16,0.4998745986491895,0.49998714072788975,4.879241491171784e-07,4.879176751827687e-07,6.473936235542966e-12,3.0197177241116433e-16,0.00013728477462218846
5.702891605834192e-16,0.4998287483797957,0.4999822092116042,8.954509422055653e-07,8.95435581762423e-07,1.536045216119122e-11,5.651510824167801e-16,0.00018725150671511034
9.619710007245012e-16,0.4997111824390222,0.4999689911705431,2.5117245616545456e-06,2.5116519010156616e-06,7.266077745725363e-11,1.8327075533231146e-15,0.0003148029413094001
1.3536528408655832e-15,0.4995936590009717,0.49995495721900024,4.945698825657787e-06,4.9455028438480364e-06,1.9598254042600476e-10,4.47770311169838e-15,0.0004414923823715276
1.7453346810066653e-15,0.4994761779458838,0.4999401125794665,8.192160596911712e-06,8.191749599351757e-06,4.1100012287516643e-10,9.766752360154976e-15,0.0005673251534435701
2.6457155499356257e-15,0.49920627761725817,0.49990294532858387,1.8704901182208134e-05,1.870351132142029e-05,1.3898825376342913e-09,4.736172248341573e-14,0.0008533672517244698
3.5460964188645862e-15,0.4989365987731467,0.49986159344078024,3.341193471715413e-05,3.340863448955043e-05,3.3003199506179503e-09,1.6561726326971535e-13,0.0011349839163806235
4.446477287793547e-15,0.498667139670065,0.49981612703071787,5.224324793938785e-05,5.223679529692201e-05,6.452923535310706e-09,4.621346019137808e-13,0.001412246802595044
5.346858156722507e-15,0.49839789860418243,0.49976661540921075,7.5129628970056e-05,7.511847902969708e-05,1.115063790401838e-08,1.0959459349157493e-12,0.0016852267268731749
8.005344164773766e-15,0.49760418772460924,0.4995974783072274,0.00016571083670345415,0.00016567402768197204,3.6814530117202544e-08,8.101578935124488e-12,0.0024669122811476827
1.0663830172825025e-14,0.4968123223198944,0.49939543532235053,0.0002892870690627358,0.00028920132067132353,8.577067168317897e-08,3.191239460035023e-11,0.003213668165441613
1.3322316180876284e-14,0.4960222632391398,0.49916226445275835,0.0004440825703219286,0.0004439177373410106,1.6489822358214358e-07,9.176280665466355e-11,0.003927307010454495
1.598080218892754e-14,0.4952339735584625,0.49889977650454886,0.0006282886118181945,0.0006280081581217428,2.806106260122818e-07,2.1738950551611826e-10,0.004609672339014142
1.9111706358360768e-14,0.494307825366497,0.49855558267185995,0.0008804121094257678,0.0008799406644399973,4.7181748433882745e-07,5.076981711109805e-10,0.005375766862557931
2.2242610527793995e-14,0.49338403032436906,0.4981764452705777,0.0011676142652293968,0.001166884128303723,7.309084158102015e-07,1.0366931901329271e-09,0.006104294066369479
2.5373514697227222e-14,0.49246253969170534,0.4977656079873865,0.0014866538834604264,0.0014855894179253038,1.0659098530720009e-06,1.9171938857639504e-09,0.006798541192436794
2.850441886666045e-14,0.49154330910375094,0.4973264141903883,0.0018341897390364026,0.0018327083219221625,1.483917874499747e-06,3.2857384635851294e-09,0.007461891441255691
3.229187437008431e-14,0.49043427917556176,0.4967621088341823,0.002287805767522282,0.0022857009189685886,2.109320513801157e-06,5.820573444941597e-09,0.008227990162645606
3.607932987350817e-14,0.4893284357355888,0.49616743933626806,0.002771995532652604,0.0027691286620982187,2.8743067660412814e-06,9.62103124227715e-09,0.008960116805555713
3.986678537693203e-14,0.4882257259454871,0.4955485264644716,0.00328064002567347,0.003276865727484685,3.7859518378212996e-06,1.5043548542940933e-08,0.009664440841440525
4.365424088035589e-14,0.4871261059608626,0.49491135447668216,0.003807756054104687,0.0038029240258364077,4.849406784737085e-06,2.2472777203289135e-08,0.010346987602883941
4.744169638377975e-14,0.48602954046934915,0.4942616492828222,0.004347618131716003,0.0043415749738618765,6.067997073854989e-06,3.231376819319898e-08,0.011013516831338983
5.177872164291049e-14,0.4847775771699202,0.4935091593960167,0.0049745875496558815,0.00496696736800774,7.655929581639663e-06,4.708471951613312e-08,0.011764005502040329
5.611574690204123e-14,0.4835295544893154,0.49275453049853285,0.005603973761771507,0.005594573888429993,9.44921344948699e-06,6.620758536933602e-08,0.01250785194087193
6.045277216117197e-14,0.482285454383784,0.4920040890796972,0.006229448463263138,0.00621806874331913,1.144536135043125e-05,9.0323277029311e-08,0.013251403645270768
6.478979742030272e-14,0.4810452681120858,0.49126312785247744,0.006845716542727161,0.006832161155878315,1.3639900028175012e-05,1.200651129629212e-07,0.013999966371647013
6.912682267943346e-14,0.47980899441931163,0.49053588322843095,0.007448538758768001,0.0074326176386532465,1.6026761784103546e-05,1.5605188674449366e-07,0.014757783141115699
7.34638479385642e-14,0.4785766377810795,0.48982556161154345,0.008034705584565462,0.00801623545815973,1.8598663877470437e-05,1.9888228589061276e-07,0.015528062018434954
7.745831126806304e-14,0.4774450918800905,0.48918826722728953,0.008557885512025005,0.008536912016826572,2.1124121612640148e-05,2.448787586562222e-07,0.0162504743633403
8.145277459756187e-14,0.47631688454252175,0.48856835887209416,0.009063901003369871,0.009040281155263742,2.3792885537582527e-05,2.9759511265469476e-07,0.016986483946037894
8.54472379270607e-14,0.4751920255069337,0.48796641931095125,0.009552166665541123,0.009525763746241818,2.6597977543780274e-05,3.5743662386825126e-07,0.01773666935609359
8.944170125655954e-14,0.47407052481902523,0.48738258942846785,0.01002253903106731,0.009993222559848197,2.953237743408136e-05,4.24784253853014e-07,0.018501166999826825
9.343616458605837e-14,0.47295239222378177,0.4868166571561402,0.010475227663182473,0.010442873254223602,3.258915752801252e-05,4.999927881780813e-07,0.019279760552278095
1.0043865813576529e-13,0.4710004044768557,0.4858661528259692,0.011227719120552758,0.011189756537456906,3.8222909428325135e-05,6.517776235927922e-07,0.02067709235205027
1.0521033378572326e-13,0.46967623725899676,0.4852471102891931,0.011712196756143389,0.011670219147629347,4.224790521518762e-05,7.704164070928752e-07,0.021651218226355025
1.0998200943568123e-13,0.4683569173694864,0.4846495839908969,0.01217545069755708,0.012129311249942062,4.6411983804045485e-05,9.018673244784743e-07,0.022641422840926285
1.147536850856392e-13,0.46704245147724555,0.48407198657791517,0.01261906493512211,0.012568624781647683,5.0705805961061585e-05,1.0464793490588036e-06,0.023646119942694575
1.1952536073559717e-13,0.46573284329978487,0.48351272843297816,0.013044625929502623,0.012989753505014957,5.512076211506592e-05,1.2045378290308961e-06,0.0246637235327108
1.2429703638555514e-13,0.4644280936632801,0.4829702776135629,0.013453662657118904,0.013394233078307918,5.964896258232894e-05,1.3762656392357534e-06,0.025692707759445477
1.290687120355131e-13,0.46312820072083327,0.4824431953039496,0.01384761113507122,0.013783505634834181,6.428319198438636e-05,1.5618257220498527e-06,0.026731642187542596
1.336075871209519e-13,0.4618962301627203,0.4819548779968511,0.014209547604607785,0.01414088922252718,6.87836919596167e-05,1.7512670088907024e-06,0.027727920054262077
1.381464622063907e-13,0.4606686446262026,0.4814782234974702,0.01456007026824303,0.014486761066746678,7.336895220193883e-05,1.953368009190847e-06,0.028730978221062863
1.4268533729182948e-13,0.4594454369788793,0.48101228986544853,0.014900118983995358,0.014822065126985836,7.80342009032823e-05,2.1681364725562404e-06,0.029739886707251778
1.4722421237726827e-13,0.45822659864705073,0.4805562331253631,0.01523053572710093,0.01514764717610863,8.277505236594375e-05,2.39554442282952e-06,0.030753814727524545
1.5176308746270707e-13,0.4570121197980358,0.4801093010754918,0.015552070770915916,0.01546426101675116,8.75874649759582e-05,2.6355322709995878e-06,0.03177202434149502
1.578746629378987e-13,0.4553836969528851,0.4795207547783367,0.015972151138547247,0.015877584115162418,9.417385912081408e-05,2.9783917983554195e-06,0.033148660764085965
1.6398623841309036e-13,0.45376312876756786,0.4789461251683506,0.01637874760887366,0.016277279849974766,0.00010087490753661378,3.34361935759828e-06,0.034530500078275544
1.70097813888282e-13,0.45215038320888734,0.4783842016404109,0.016773066563665916,0.01666456142993732,0.00010768304039084524,3.7308729835467967e-06,0.03591637324366074
1.7620938936347365e-13,0.4505454261057534,0.4778339495153911,0.017156138604708493,0.01704046576734941,0.00011459134123379551,4.139764121094234e-06,0.037305288901379303
1.823209648386653e-13,0.44894822152298336,0.47729448108311756,0.017528847496985557,0.01740588248676576,0.00012159345498834886,4.569870147939083e-06,0.03869640408494794
1.8878281394177781e-13,0.4472678663632552,0.47673497709316875,0.017912487586183717,0.017781683135159213,0.00012909242054796432,5.047205085052998e-06,0.04016884619653689
1.9524466304489033e-13,0.4455960903306656,0.47618589243693665,0.01828616981801243,0.01814739890337747,0.00013668328341185385,5.5472120541836206e-06,0.04164221801547851
2.0170651214800285e-13,0.44393284655898596,0.4756465464492573,0.0186505706059446,0.018503711840541982,0.00014436006946638995,6.069338248370083e-06,0.043115895137492026
2.0816836125111537e-13,0.4422780871922987,0.4751163436050188,0.019006281345758196,0.018851218626922298,0.00015211720222786275,6.613029569487164e-06,0.04458933899814122
2.146302103542279e-13,0.4406317635688838,0.47459475906947807,0.019353822857996875,0.01919044504980456,0.00015994945658099385,7.177736028627703e-06,0.04606208226116372
2.2109205945734042e-13,0.4389938263870993,0.47408132583746565,0.019693658241828005,0.019521858888070502,0.00016785191712893378,7.762916194914272e-06,0.04753371581214935
2.3036723355601695e-13,0.4366573313092557,0.4733577748784299,0.020168801758825176,0.019984737055247715,0.0001793083877501212,8.637595465413808e-06,0.04964340901496268
2.396424076546935e-13,0.434337863502895,0.47264906396982737,0.02063000368863298,0.020433475589931274,0.00019088714612865726,9.551848178484564e-06,0.05174915425434286
2.4891758175337003e-13,0.4320352732135296,0.47195423336450193,0.02107821323940738,0.02086903503011984,0.0002025762693523655,1.0504215294287928e-05,0.05385016466773126
